PlayerId,Name,Team,Age,G,PA,AB,H,BB,HBP,HR,R,RBI,SB,OBP,SLG,wOBA,wRC+,WAR
19842,Caleb Hamilton,BOS,28,4,6,5,0,1,0,0,0,0,0,0.166666666,0,0.115998497,-44.79368311,-0.069956771
21837,Jonathan Aranda,TBR,25,33,98,82,17,13,2,1,12,7,0,0.326530612,0.304878048,0.285523665,83.3720921,-0.071023971
17109,Meibrys Viloria,CLE,26,10,4,3,0,1,0,0,0,0,0,0.25,0,0.173997745,3.713322725,-0.071501411
11680,Elias Díaz,COL,32,140,525,485,129,34,2,14,48,72,1,0.314285714,0.408247422,0.313058726,79.82955018,-0.071949079
13788,Matt Reynolds,CIN,32,2,5,5,1,0,0,0,1,0,0,0.2,0.2,0.176498997,-1.694837685,-0.07269538
14350,Raimel Tapia,- - -,29,63,164,143,32,17,1,3,27,13,8,0.308641975,0.328671328,0.285735854,74.80682815,-0.075488212
12140,Juniel Querecuto,STL,30,8,21,20,2,1,0,0,2,0,0,0.142857142,0.15,0.134378853,-22.51072652,-0.07566217
28163,Junior Caminero,TBR,19,6,30,28,6,2,0,0,2,5,0,0.266666666,0.25,0.234930895,48.28897504,-0.075825919
11200,Kole Calhoun,CLE,35,43,174,157,34,13,2,6,18,25,0,0.281609195,0.375796178,0.285948688,81.34473148,-0.079279044
9929,Darin Ruf,- - -,36,20,57,49,11,8,0,0,3,3,0,0.333333333,0.285714285,0.286987677,79.00867637,-0.079387966
22169,Cal Mitchell,PIT,24,2,5,4,0,1,0,0,0,0,0,0.2,0,0.139198196,-23.07307114,-0.081674807
13338,Omar Narváez,NYM,31,49,146,128,27,14,0,2,12,7,0,0.28275862,0.296875,0.259429265,63.48661385,-0.08185297
16622,Luis Urías,- - -,26,52,177,144,28,21,10,3,18,18,0,0.337142857,0.298611111,0.297793917,82.73908746,-0.087557979
18395,Travis Blankenhorn,WSN,26,10,37,31,5,6,0,1,2,1,0,0.297297297,0.258064516,0.262405025,60.42484192,-0.09674691
31490,Wade Meckler,SFG,23,20,64,56,13,6,2,0,6,4,0,0.328125,0.25,0.272835933,71.64623576,-0.100441332
22411,Cal Stevenson,SFG,26,6,12,9,0,3,0,0,1,0,0,0.25,0,0.173997745,5.442180733,-0.100696248
22557,Michael Siani,- - -,23,8,6,5,0,1,0,0,1,0,1,0.166666666,0,0.115998497,-25.62122515,-0.104098777
14196,Andrew Velazquez,LAA,28,54,94,81,14,10,0,2,12,3,13,0.263736263,0.283950617,0.248779063,51.52218578,-0.109320423
13836,Matt Duffy,KCR,32,78,206,188,47,12,4,2,17,16,1,0.305825242,0.324468085,0.280885311,71.47975417,-0.111020814
12160,Ben Gamel,SDP,31,6,15,15,3,0,0,0,2,2,0,0.2,0.266666666,0.200563995,24.7915611,-0.112915027
14567,Franchy Cordero,NYY,28,24,71,69,13,2,0,6,9,13,0,0.211267605,0.478260869,0.286052921,81.37613034,-0.112950881
13359,Tyler Naquin,CHW,32,4,3,3,0,0,0,0,0,0,0,0,0,0,-100,-0.11494131
12775,Brad Miller,TEX,33,27,67,56,12,10,0,1,8,6,0,0.328358208,0.339285714,0.300213651,86.83193891,-0.118721008
19432,Yonny Hernández,LAD,25,14,27,22,3,2,1,0,5,4,0,0.23076923,0.181818181,0.197173611,19.64008466,-0.119865616
19966,Bobby Dalbec,BOS,28,20,49,45,10,4,0,1,6,1,1,0.285714285,0.333333333,0.274518956,65.13095164,-0.126130981
11481,Henry Ramos,CIN,31,23,86,74,18,11,1,0,9,5,2,0.348837209,0.31081081,0.302740261,82.86441758,-0.133422178
19768,Rylan Bannon,HOU,27,2,6,6,0,0,0,0,0,0,0,0,0,0,-100,-0.145268093
25867,Ryan Kreidler,DET,25,11,18,18,2,0,0,0,2,0,0,0.111111111,0.111111111,0.098054998,-51.39659034,-0.14736044
19346,Eli White,ATL,29,6,17,14,1,2,1,0,1,0,0,0.235294117,0.071428571,0.17650288,2.094183144,-0.149152472
16593,Kevin Padlo,LAA,26,3,8,8,1,0,0,0,1,0,0,0.125,0.25,0.155433744,-13.20731436,-0.149397327
23818,Ji Hwan Bae,PIT,23,110,368,332,78,29,2,2,54,32,24,0.298630136,0.31626506,0.274575085,67.60543286,-0.153425145
25817,Braden Shewmake,ATL,25,2,4,4,0,0,0,0,0,0,0,0,0,0,-100,-0.153769996
15672,Austin Meadows,DET,28,6,21,21,5,0,0,0,0,2,0,0.238095238,0.285714285,0.227307138,38.23218255,-0.155932461
19878,Adam Haseley,CHW,27,28,39,36,8,3,0,0,6,2,1,0.282051282,0.277777777,0.253073917,55.33146157,-0.156681839
12371,Tommy La Stella,SEA,34,12,24,21,4,3,0,0,2,2,0,0.291666666,0.238095238,0.249121994,57.86267085,-0.158489327
19212,Taylor Kohlwey,SDP,28,5,13,13,2,0,0,0,0,0,0,0.153846153,0.153846153,0.135768459,-18.60995511,-0.158808805
13265,Mike Zunino,CLE,32,42,140,124,22,15,1,3,11,11,0,0.271428571,0.306451612,0.260495332,63.69432299,-0.161058284
22261,Bubba Thompson,TEX,25,37,60,53,9,4,1,0,10,4,4,0.237288135,0.283018867,0.230207553,38.2868189,-0.165628599
16953,Chadwick Tromp,ATL,28,6,16,16,2,0,0,0,1,1,0,0.125,0.1875,0.132872809,-27.13022597,-0.170343948
25459,Peyton Burdick,MIA,26,14,37,33,6,3,1,1,4,2,1,0.27027027,0.333333333,0.268960268,64.97285237,-0.172984154
22542,Lawrence Butler,OAK,22,41,125,119,25,4,1,4,9,10,0,0.24,0.344537815,0.251988567,60.2985357,-0.174615772
21562,Romy Gonzalez,CHW,26,44,97,93,18,2,0,3,11,14,7,0.208333333,0.376344086,0.244314551,49.25735516,-0.175272951
27769,Pete Crow-Armstrong,CHC,21,12,15,11,0,2,0,0,3,1,1,0.153846153,0,0.107075535,-42.08622723,-0.1774594
24782,David Villar,SFG,26,46,140,124,18,11,4,5,15,12,1,0.235714285,0.314516129,0.2443841,52.58855416,-0.178475276
19562,Zack Short,DET,28,111,253,221,45,28,0,7,17,33,5,0.292,0.339366515,0.281171009,75.583616,-0.183043816
16680,Brian O'Keefe,SEA,29,8,21,19,2,2,0,0,0,2,0,0.19047619,0.210526315,0.184710565,13.19712538,-0.188802638
19514,Andrew Knizner,STL,28,69,237,221,53,12,2,10,30,31,2,0.283898305,0.425339366,0.304036635,91.12989526,-0.189802111
9952,Trayce Thompson,- - -,32,71,174,150,25,23,1,6,17,17,1,0.281609195,0.3,0.265756206,64.39660884,-0.189907907
15214,Brandon Dixon,SDP,31,33,86,79,16,1,4,2,10,9,1,0.244186046,0.329113924,0.248898011,57.1667786,-0.192814203
19610,Keibert Ruiz,WSN,24,135,557,518,133,31,6,18,54,64,1,0.305206463,0.405405405,0.307698905,90.76370756,-0.19302102
7304,Salvador Perez,KCR,33,139,576,535,137,19,13,23,59,79,0,0.294425087,0.424299065,0.304123423,87.59402045,-0.197220356
2434,Nelson Cruz,SDP,42,49,152,143,35,6,2,5,9,23,1,0.282894736,0.398601398,0.290814429,85.24334449,-0.19848421
17737,Josh Lester,BAL,28,11,23,22,4,1,0,0,0,4,0,0.217391304,0.181818181,0.183737866,10.60269984,-0.199292397
14950,Johan Camargo,SFG,29,8,20,18,4,1,1,0,0,2,0,0.3,0.222222222,0.247602147,54.74407494,-0.20006865
13744,David Dahl,SDP,29,4,9,9,1,0,0,1,1,1,0,0.111111111,0.444444444,0.222562234,39.52647914,-0.208532283
23691,José Tena,CLE,22,17,31,29,7,2,0,0,2,3,0,0.29032258,0.310344827,0.267464413,68.52697129,-0.209624733
25822,Andre Lipcius,DET,25,13,38,35,10,3,0,1,3,4,0,0.342105263,0.4,0.326170076,106.7878277,-0.21245873
20463,Irving Lopez,STL,28,4,8,8,0,0,0,0,0,0,0,0,0,0,-100,-0.214172351
14274,Mitch Haniger,SFG,32,61,229,211,44,15,2,6,27,28,1,0.266375545,0.364928909,0.274339338,72.65325053,-0.217087043
11265,Jonathan Schoop,DET,31,55,151,136,29,13,0,0,15,7,0,0.278145695,0.272058823,0.248530047,52.94902425,-0.21789687
21587,César Salazar,HOU,27,13,19,18,2,1,0,0,1,0,0,0.157894736,0.111111111,0.129525313,-28.40147116,-0.218326654
12510,Curt Casali,CIN,34,40,96,80,14,11,2,0,8,6,0,0.29032258,0.2,0.238547576,39.86670447,-0.219872107
23985,Osleivis Basabe,TBR,22,30,92,85,18,6,1,1,14,12,0,0.27173913,0.305882352,0.257743126,64.10791855,-0.22126628
22197,MJ Melendez,KCR,24,147,598,529,123,62,3,15,64,55,6,0.31438127,0.391304347,0.307366751,89.84307859,-0.223404267
15082,Adam Engel,SDP,31,5,6,6,0,0,0,0,0,0,0,0,0,0,-100,-0.229802758
16686,Jason Vosler,CIN,29,20,65,62,10,3,0,3,6,10,0,0.2,0.370967741,0.241268047,41.68893769,-0.230337296
20056,Alan Trejo,COL,27,83,227,207,48,16,1,4,24,26,5,0.287610619,0.342995169,0.277321558,55.8919861,-0.232285222
8418,Ehire Adrianza,ATL,33,5,11,10,0,1,0,0,0,0,0,0.09090909,0,0.063271907,-73.75048496,-0.235809188
19293,Nick Senzel,CIN,28,103,326,297,71,26,1,13,49,42,6,0.300613496,0.404040404,0.30569349,84.84255734,-0.24325806
20275,Jonathan Araúz,NYM,24,27,66,59,8,5,0,3,3,9,0,0.203125,0.288135593,0.217212658,35.20897537,-0.251179345
27531,David Hamilton,BOS,25,15,39,33,4,6,0,0,2,0,2,0.256410256,0.181818181,0.216099378,24.62040343,-0.25272041
11902,Hanser Alberto,CHW,30,30,90,82,18,4,1,3,11,16,0,0.261363636,0.390243902,0.279108135,73.3846637,-0.257568069
24400,Terrin Vavra,BAL,26,27,56,49,12,5,0,0,9,5,1,0.314814814,0.244897959,0.260553606,63.86990709,-0.261108561
14366,Joey Meneses,WSN,31,153,652,606,167,38,5,13,70,88,0,0.322085889,0.400990099,0.314941726,95.6151132,-0.262710589
26420,Kyren Paris,LAA,21,15,46,40,4,4,1,0,4,1,3,0.2,0.1,0.156444797,-12.5062084,-0.264307348
24451,J.P. Martínez,TEX,27,17,44,40,9,2,0,1,7,4,0,0.25,0.325,0.245817657,49.11150977,-0.268679849
20054,Bligh Madris,HOU,27,12,30,26,4,4,0,0,4,0,0,0.266666666,0.192307692,0.222497294,36.06914115,-0.271906561
